央视频道,#genre#
CCTV-1综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8#http://1732e975z9.zicp.fun:8082/hls/1/index.m3u8
CCTV-2财经,http://121.239.71.213:58888/rtp/239.49.8.130:6000#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8#http://59.173.243.210:9901/tsfile/live/0002_1.m3u8
CCTV-3综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8#http://1732e975z9.zicp.fun:8082/hls/3/index.m3u8
CCTV-4中文国际,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8#http://112.102.217.173:9003//hls/16/index.m3u8
CCTV-5体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8#http://120.76.248.139/live/bfgd/4200000064.m3u8
CCTV-5+体育赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
CCTV-6电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226011/1.m3u8
CCTV-7军事·农业,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/1.m3u8#http://1.24.190.98:10089/hls/14/index.m3u8
CCTV-8电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8#http://123.182.60.29:9002/hls/8/index.m3u8
CCTV-9纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8#http://218.13.170.98:9901/tsfile/live/0009_1.m3u8
CCTV-10科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226189/1.m3u8#http://221.205.131.25:9999/tsfile/live/0010_1.m3u8
CCTV-11戏曲,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226714/1.m3u8#http://42.48.50.232:9002/tsfile/live/0011_1.m3u8
CCTV-12社会与法,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226190/1.m3u8#http://1.24.190.98:10089/hls/22/index.m3u8
CCTV-13新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8#https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8#https://pi.0472.org/tv/startv.php?auth=231110#http://112.102.217.173:9003//hls/26/index.m3u8
CCTV-14少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226193/1.m3u8#http://58.17.48.228:808/hls/14/index.m3u8
CCTV-15音乐,http://222.243.24.142:9901/tsfile/live/0015_2.m3u8?key=txiptv&playlive=1&authid=0#http://221.0.78.198:1681/hls/10215/index.m3u8
CCTV-15音乐,http://106.115.27.82:9901/tsfile/live/faacts/0015_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-15音乐,http://106.115.27.9:9901/tsfile/live/faacts/0015_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-15音乐,http://106.115.24.12:9901/tsfile/live/faacts/0015_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-16奥林匹克,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/1.m3u8#http://60.255.240.247:8090/live/CCTV-16_4000.m3u8
CCTV-17农业农村,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226198/1.m3u8#http://119.36.148.115:59901/tsfile/live/0019_1.m3u8
CCTV世界地理,http://111.61.236.247:9081/hls/62/index.m3u8
CCTV央视台球,http://111.165.0.98:8888/udp/225.1.2.170:5002
CCTV女性时尚,http://111.61.236.247:9081/hls/59/index.m3u8
CCTV怀旧剧场,http://111.61.236.247:9081/hls/67/index.m3u8
CCTV第一剧场,http://111.165.0.98:8888/udp/225.1.2.175:5002
CCTV风云足球,http://111.61.236.247:9081/hls/58/index.m3u8
卫视频道,#genre#
山东卫视,http://223.105.252.8/PLTV/4/224/3221227448/index.m3u8
山东教育卫视,http://120.76.248.139/live/bfgd/4200000112.m3u8
山东综艺,http://113.128.132.107:8688/udp/239.21.1.177:5002
💞电影频道,#genre#
漫威影院,http://maomao.kandiantv.cn/douyu1.php?id=6140589
黑莓电影,http://112.102.217.173:9003//hls/99/index.m3u8
成龙,http://zby.xjqxz.top/cldy/live.m3u8
强森,http://111.67.193.2:35455/huya/21059581
东森电影,http://50.7.234.10:8278/ettvmovie/playlist.m3u8
靖天电影,http://litv.zapi.us.kg/?id=4gtv-4gtv061
龙华电影,http://37.27.111.214:8080/live/19/hls.m3u8
AMC电影,http://61.221.215.25:8800/hls/43/index.m3u8
游戏风云,http://110.177.146.152:888/udp/239.1.1.83:8083
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
CAT电影,http://litv.zapi.us.kg/?id=4gtv-4gtv076
CHC电影,http://183.94.146.109:2222/tsfile/live/1020_1.m3u8
电影丧尸片,http://diyp.zxxoo.work/huya/21059578
电影动作电影,http://diyp.zxxoo.work/huya/11602077
电影周星星,http://diyp.zxxoo.work/huya/11336587
电影喜剧专场,http://diyp.zxxoo.work/huya/11602044
电影成龙,http://diyp.zxxoo.work/huya/11342386
电影推荐,http://diyp.zxxoo.work/huya/11602041
电影搞笑喜剧,http://diyp.zxxoo.work/huya/11342423
电影梁家辉,http://diyp.zxxoo.work/huya/11342429
电影死神来了,http://diyp.zxxoo.work/huya/11352903
电影洪金宝,http://diyp.zxxoo.work/huya/11279251
电影犯罪片,http://diyp.zxxoo.work/huya/11352974
电影经典女神,http://diyp.zxxoo.work/huya/11352909
电影贺岁,http://diyp.zxxoo.work/huya/11601971
泰州三套影视娱乐,http://stream1.mytaizhou.net/ysyl/playlist.m3u8
济南影视,http://221.0.78.198:1681/hls/10282/index.m3u8
浙江教科影视,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江教科影院,http://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
淮安影院娱乐,http://live1.habctv.com/ysylsl/sd/live.m3u8
港剧天地,http://159.75.85.63:35455/douyu/4290711
湖北影视,http://58.48.37.158:1111/tsfile/live/1000_1.m3u8
湖南电影,http://222.241.154.37:9901/tsfile/live/23025_1.m3u8
漫威剧情原,http://diyp.zxxoo.work/douyu/6140589
热门港剧,http://159.75.85.63:35455/douyu/5522351
甄子丹电影,http://diyp.zxxoo.work/huya/11352935
甘肃文化影视,https://hls.gstv.com.cn/49048r/w1l6d5.m3u8
功夫电影,http://diyp.zxxoo.work/huya/11352941
华语影视,http://159.75.85.63:35455/douyu/3928
欧美大片,http://159.75.85.63:35455/douyu/2793084
欧美大片原,http://diyp.zxxoo.work/douyu/2793084
恐怖影院,http://159.75.85.63:35455/douyu/218859
恐怖惊悚原,http://diyp.zxxoo.work/douyu/96577
欧美影院,http://159.75.85.63:35455/douyu/508118
武侠神剧,http://159.75.85.63:35455/douyu/338759
神乐影院原,http://diyp.zxxoo.work/douyu/122402
童年影院,http://159.75.85.63:35455/douyu/2935323
林正英,http://diyp.zxxoo.work/douyu/7356023
经典剧场,http://159.75.85.63:35455/douyu/6863367
花卷陪看原,http://diyp.zxxoo.work/douyu/52787
菏泽三套影视,http://live.hznet.tv:1935/live/live3/500K/tzwj_video.m3u8
西游记1,http://diyp.zxxoo.work/huya/23728660
西游记2,http://diyp.zxxoo.work/huya/23735126
豆瓣高分原,http://diyp.zxxoo.work/douyu/8770422
贝爷影厅原,http://diyp.zxxoo.work/douyu/252802
贝爷贰厅,http://159.75.85.63:35455/douyu/4332
贺岁电影,http://diyp.zxxoo.work/huya/11601986
超级电影,http://112.102.217.173:9003//hls/85/index.m3u8
邵氏影院,http://159.75.85.63:35455/douyu/4246519
金庸武侠,http://diyp.zxxoo.work/huya/11342435
黄渤电影,http://diyp.zxxoo.work/huya/11352876
